"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "PostCSS", "SCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 5, 54
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 12, 86
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.html", "HTML", 0, 0, 196, 0, 0, 0, 0, 0, 2, 15, 213
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.ts", "TypeScript", 0, 0, 0, 178, 0, 0, 0, 0, 0, 24, 202
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.html", "HTML", 0, 0, 135, 0, 0, 0, 0, 0, 12, 19, 166
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 13, 132
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 13, 116
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.html", "HTML", 0, 0, 161, 0, 0, 0, 0, 0, 2, 6, 169
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 8, 100
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 8, 88
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.html", "HTML", 0, 0, 69, 0, 0, 0, 0, 0, 2, 15, 86
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
